household_id,day,score,top_sensor,top_weight
H02,2025-01-08,1.1324882507324219e-05,H02_S01,0.9442193508148193
H02,2025-01-09,6.556510925292969e-06,H02_S01,0.9441969990730286
H02,2025-01-10,2.658367156982422e-05,H02_S01,0.9442143440246582
H02,2025-01-11,4.649162292480469e-06,H02_S01,0.9441670775413513
H02,2025-01-12,3.701448440551758e-05,H02_S01,0.9442428350448608
H02,2025-01-13,3.814697265625e-05,H02_S01,0.9441513419151306
H02,2025-01-14,3.6954879760742188e-06,H02_S01,0.9442133903503418
H02,2025-01-15,4.3332576751708984e-05,H02_S01,0.9441563487052917
H02,2025-01-16,6.562471389770508e-05,H02_S01,0.9442680478096008
H02,2025-01-17,3.784894943237305e-05,H02_S01,0.944258987903595
H02,2025-01-18,4.231929779052734e-06,H02_S01,0.9442296624183655
H02,2025-01-19,2.6226043701171875e-06,H02_S01,0.9442461133003235
H02,2025-01-20,5.424022674560547e-06,H02_S01,0.9441445469856262
H02,2025-01-21,1.2695789337158203e-05,H02_S01,0.9442445039749146
H02,2025-01-22,8.881092071533203e-06,H02_S01,0.9441915154457092
H02,2025-01-23,3.2782554626464844e-06,H02_S01,0.9441889524459839
H02,2025-01-24,3.814697265625e-06,H02_S01,0.9441264867782593
H02,2025-01-25,4.2438507080078125e-05,H02_S01,0.9440757632255554
H02,2025-01-26,1.9311904907226562e-05,H02_S01,0.9441317915916443
H02,2025-01-27,1.0311603546142578e-05,H02_S01,0.9442363381385803
H02,2025-01-28,5.364418029785156e-07,H02_S01,0.9442136287689209
H02,2025-01-29,4.583597183227539e-05,H02_S01,0.9441304802894592
H02,2025-01-30,0.00011754035949707031,H02_S01,0.9443648457527161
H02,2025-01-31,7.367134094238281e-05,H02_S01,0.9440855383872986
H02,2025-02-01,7.104873657226562e-05,H02_S01,0.94422847032547
H02,2025-02-02,6.139278411865234e-06,H02_S01,0.944158673286438
H02,2025-02-03,4.0531158447265625e-06,H02_S01,0.9442482590675354
H02,2025-02-04,4.172325134277344e-07,H02_S01,0.9442669749259949
H02,2025-02-05,2.2351741790771484e-05,H02_S01,0.9441514611244202
H02,2025-02-06,7.927417755126953e-06,H02_S01,0.9441432356834412
H02,2025-02-07,0.0001049041748046875,H02_S01,0.9442219734191895
H02,2025-02-08,5.78761100769043e-05,H02_S01,0.9441457986831665
